Date,Close,Volume,Open,High,Low
4/22/2019,123.76,14825150,122.62,124,122.57
4/18/2019,123.37,27651970,122.19,123.52,121.3018
4/17/2019,121.77,19012080,121.24,121.85,120.54
4/16/2019,120.77,14054870,121.64,121.65,120.1
4/15/2019,121.05,15526260,120.94,121.58,120.57
4/12/2019,120.95,19719730,120.64,120.98,120.37
4/11/2019,120.33,13758010,120.54,120.85,119.92
4/10/2019,120.19,14540330,119.76,120.35,119.54
4/9/2019,119.28,17275470,118.63,119.54,118.58
4/8/2019,119.93,15113170,119.81,120.02,118.64
4/5/2019,119.89,15737990,119.39,120.23,119.37
4/4/2019,119.36,20090610,120.1,120.23,118.38
4/3/2019,119.97,22354020,119.86,120.43,119.15
4/2/2019,119.19,16413430,119.06,119.48,118.52
4/1/2019,119.02,19885780,118.95,119.1085,118.1
3/29/2019,117.94,25375220,118.07,118.32,116.96
3/28/2019,116.93,17527550,117.44,117.58,116.13
3/27/2019,116.77,22669440,117.875,118.21,115.5215
3/26/2019,117.91,25986230,118.62,118.705,116.85
3/25/2019,117.66,26641480,116.56,118.01,116.3224
3/22/2019,117.05,32346990,119.5,119.59,117.04
3/21/2019,120.22,29747140,117.135,120.82,117.09
3/20/2019,117.52,26110540,117.39,118.75,116.71
3/19/2019,117.65,35304130,118.09,118.44,116.99
3/18/2019,117.57,31098780,116.17,117.61,116.05
3/15/2019,115.91,54025470,115.34,117.25,114.59
3/14/2019,114.59,30414810,114.54,115.2,114.33
3/13/2019,114.5,35311160,114.13,115,113.78
3/12/2019,113.62,26103480,112.82,113.99,112.6499
3/11/2019,112.83,24525610,110.99,112.95,110.98
3/8/2019,110.51,22803110,109.16,110.71,108.8
3/7/2019,110.39,25320540,111.4,111.55,109.865
3/6/2019,111.75,17651130,111.87,112.66,111.43
3/5/2019,111.7,19090780,112.25,112.39,111.23
3/4/2019,112.26,25869380,113.02,113.25,110.8
3/1/2019,112.53,20821260,112.89,113.02,111.665
2/28/2019,112.03,28948570,112.04,112.88,111.73
2/27/2019,112.17,21471170,111.69,112.36,110.88
2/26/2019,112.36,21513210,111.26,113.24,111.17
2/25/2019,111.59,23723500,111.76,112.18,111.26
2/22/2019,110.97,27746840,110.05,111.2,109.82
2/21/2019,109.41,28856200,106.9,109.48,106.87
2/20/2019,107.15,21603580,107.86,107.94,106.29
2/19/2019,108.17,17982860,107.79,108.66,107.78
2/15/2019,108.22,26589160,107.91,108.3,107.3624
2/14/2019,106.9,21745770,106.31,107.29,105.66
2/13/2019,106.81,18337830,107.5,107.78,106.71
2/12/2019,106.89,25018670,106.14,107.14,105.48
2/11/2019,105.25,18753750,106.2,106.58,104.965
2/8/2019,105.67,21453990,104.39,105.78,104.2603
2/7/2019,105.27,29735930,105.185,105.59,104.29
2/6/2019,106.03,20577980,107,107,105.53
2/5/2019,107.22,27270810,106.06,107.27,105.96
2/4/2019,105.74,31216260,102.87,105.8,102.77
2/1/2019,102.78,35243730,103.775,104.0999,102.35
1/31/2019,104.43,55442870,103.8,105.22,103.18
1/30/2019,106.38,47203190,104.62,106.38,104.33
1/29/2019,102.94,31262200,104.88,104.97,102.17
1/28/2019,105.08,29402020,106.26,106.48,104.66
1/25/2019,107.17,31182240,107.24,107.88,106.59
1/24/2019,106.2,23125910,106.86,107,105.34
1/23/2019,106.71,25512110,106.12,107.04,105.34
1/22/2019,105.68,32092050,106.75,107.1,104.86
1/18/2019,107.71,37299850,107.46,107.9,105.91
1/17/2019,106.12,27151570,105,106.625,104.76
1/16/2019,105.38,29655860,105.26,106.255,104.96
1/15/2019,105.01,31537490,102.51,105.05,101.88
1/14/2019,102.05,27194560,101.9,102.8716,101.26
1/11/2019,102.8,28235260,103.19,103.44,101.64
1/10/2019,103.6,29978930,103.22,103.75,102.38
1/9/2019,104.27,32261890,103.86,104.88,103.2445
1/8/2019,102.8,31322920,103.04,103.97,101.7134
1/7/2019,102.06,35567820,101.64,103.2681,100.98
1/4/2019,101.93,43982700,99.72,102.51,98.93
1/3/2019,97.4,42111650,100.1,100.185,97.2
1/2/2019,101.12,35145360,99.55,101.75,98.94
12/31/2018,101.57,33161320,101.29,102.4,100.44
12/28/2018,100.39,38160810,102.09,102.41,99.52
12/27/2018,101.18,49162950,99.3,101.19,96.4
12/26/2018,100.56,51330280,95.14,100.69,93.96
12/24/2018,94.13,43935190,97.68,97.97,93.98
12/21/2018,98.23,110945000,101.63,103,97.46
12/20/2018,101.51,70221500,103.05,104.31,98.78
12/19/2018,103.69,68110780,103.65,106.88,101.35
12/18/2018,103.97,48033550,103.75,104.51,102.52
12/17/2018,102.89,56837160,105.41,105.8,101.71
12/14/2018,106.03,46961130,108.25,109.26,105.5
12/13/2018,109.45,30600890,109.58,110.87,108.63
12/12/2018,109.08,36169700,110.89,111.27,109.04
12/11/2018,108.59,42342240,109.8,110.95,107.44
12/10/2018,107.59,40463870,104.8,107.98,103.89
12/7/2018,104.82,44391210,108.38,109.45,104.3
12/6/2018,109.19,47866160,105.82,109.24,105
12/4/2018,108.52,44572140,111.94,112.6373,108.2115
12/3/2018,112.09,34293960,113,113.42,110.73
11/30/2018,110.89,33652230,110.7,110.97,109.36
11/29/2018,110.19,27792540,110.33,111.115,109.03
11/28/2018,111.12,46132310,107.89,111.33,107.86
11/27/2018,107.14,29063180,106.27,107.33,105.36
11/26/2018,106.47,32258530,104.79,106.63,104.58
11/23/2018,103.07,13823100,102.17,103.8099,102
11/21/2018,103.11,28121990,103.6,104.43,102.24
11/20/2018,101.71,63988520,101.8,102.97,99.3528
11/19/2018,104.62,43324610,108.27,108.56,103.55
11/16/2018,108.29,33494830,107.08,108.88,106.8
11/15/2018,107.28,38430970,104.99,107.8,103.91
11/14/2018,104.97,39451290,108.1,108.26,104.47
11/13/2018,106.94,35360680,107.55,108.74,106.64
11/12/2018,106.87,33595910,109.42,109.96,106.1
11/9/2018,109.57,32011930,110.85,111.45,108.76
11/8/2018,111.75,25479410,111.8,112.21,110.91
11/7/2018,111.96,37864220,109.44,112.24,109.4
11/6/2018,107.72,24217640,107.38,108.84,106.28
11/5/2018,107.51,27908600,106.37,107.74,105.9
11/2/2018,106.16,37591700,106.48,107.32,104.975
11/1/2018,105.92,33243300,107.05,107.32,105.53
10/31/2018,106.81,51042220,105.435,108.14,105.39
10/30/2018,103.73,65273360,103.66,104.38,100.11
10/29/2018,103.85,55101300,108.105,108.7,101.63
10/26/2018,106.96,55480820,105.69,108.75,104.76
10/25/2018,108.3,61550620,106.55,109.27,106.15
10/24/2018,102.32,63236450,108.41,108.49,101.5901
10/23/2018,108.1,43531680,107.77,108.97,105.11
10/22/2018,109.63,26484510,109.32,110.54,108.24
10/19/2018,108.66,32751070,108.93,110.86,108.21
10/18/2018,108.5,31794350,110.1,110.53,107.83
10/17/2018,110.71,25873980,111.68,111.81,109.5482
10/16/2018,111,31154210,109.54,111.41,108.95
10/15/2018,107.6,32001580,108.91,109.48,106.9468
10/12/2018,109.57,46718940,109.01,111.24,107.12
10/11/2018,105.91,63629560,105.35,108.93,104.2
10/10/2018,106.16,60560740,111.24,111.5,105.79
10/9/2018,112.26,26187200,111.14,113.08,110.8
10/8/2018,110.85,29477750,111.66,112.03,109.34
10/5/2018,112.13,29062670,112.63,113.17,110.64
10/4/2018,112.79,34475710,114.61,114.7588,111.63
10/3/2018,115.17,16130010,115.42,116.18,114.93
10/2/2018,115.15,20180030,115.3,115.84,114.44
10/1/2018,115.61,18610500,114.75,115.68,114.73
9/28/2018,114.37,20525950,114.19,114.57,113.68
9/27/2018,114.41,19053590,114.78,114.91,114.2
9/26/2018,113.98,19322530,114.47,115.055,113.74
9/25/2018,114.45,20782110,114.8,115.1,113.75
9/24/2018,114.67,25273510,113.03,114.9,112.2175
9/21/2018,114.26,70363000,114,115.29,113.51
9/20/2018,113.57,23667500,112.28,113.8,111.93
9/19/2018,111.7,21663020,113.05,113.32,111.035
9/18/2018,113.21,22114560,112.19,113.695,111.72
9/17/2018,112.14,20332830,113.69,113.7,111.86
9/14/2018,113.37,18261950,113.36,113.73,112.44
9/13/2018,112.91,25107230,112.12,113.725,112.12
9/12/2018,111.71,18855340,111.43,111.85,110.51
9/11/2018,111.24,24081240,108.9,111.59,108.89
9/10/2018,109.38,19887280,108.84,109.64,108.36
9/7/2018,108.21,22273530,108.23,108.7248,107.23
9/6/2018,108.74,23226430,108.25,108.99,107.51
9/5/2018,108.49,32838650,111.01,111.42,108.1
9/4/2018,111.71,22558040,110.85,111.955,110.22
8/31/2018,112.33,23217310,111.685,112.777,111.515
8/30/2018,111.95,22759640,111.67,112.61,111.44
8/29/2018,112.02,20747500,110.45,112.03,110.27
8/28/2018,110.26,19144860,109.94,110.5,109.79
8/27/2018,109.6,19439380,109.27,109.64,108.51
8/24/2018,108.4,17188010,107.67,108.56,107.56
8/23/2018,107.56,17996860,107.15,108.18,106.87
8/22/2018,107.06,17878840,105.85,107.34,105.78
8/21/2018,105.98,22825830,106.92,107.35,105.85
8/20/2018,106.87,17327110,107.51,107.9,106.48
8/17/2018,107.58,18051970,107.36,107.9,106.69
8/16/2018,107.64,20687500,108.3,108.86,107.3
8/15/2018,107.66,29947600,108.49,108.985,106.82
8/14/2018,109.56,16777990,108.56,109.75,108.04
8/13/2018,108.21,18470690,109.24,109.58,108.1
8/10/2018,109,18171350,109.42,109.69,108.38
8/9/2018,109.67,13634510,109.71,110.16,109.6
8/8/2018,109.49,15461420,109.33,109.75,108.7599
8/7/2018,108.88,16070070,108.56,109.1,108.17
8/6/2018,108.13,20234680,108.12,108.42,107.559
8/3/2018,108.04,18629310,107.8,108.05,106.82
8/2/2018,107.57,26080740,105.4,108.09,104.84
8/1/2018,106.28,23617980,106.03,106.446,105.42
7/31/2018,106.08,27181070,106.49,106.72,105.38
7/30/2018,105.37,34495720,107.19,107.53,104.76
7/27/2018,107.68,36916780,110.18,110.18,106.14
7/26/2018,109.62,31332820,110.74,111,109.5
7/25/2018,110.83,30586770,107.955,111.15,107.6
7/24/2018,107.66,26308190,108.57,108.82,107.26
7/23/2018,107.97,29226800,106.3,108.14,106.13
7/20/2018,106.27,55999890,108.08,108.2,106.08
7/19/2018,104.4,38193270,104.93,105.31,103.89
7/18/2018,105.12,29055780,105.94,106.05,104.715
7/17/2018,105.95,25864500,104.61,106.5,104.32
7/16/2018,104.91,20782300,105.4,105.82,104.515
7/13/2018,105.43,24578340,104.37,105.6,104.09
7/12/2018,104.19,24270690,102.77,104.41,102.73
7/11/2018,101.98,19278720,101.15,102.34,101.1
7/10/2018,102.12,19180850,102,102.51,101.86
7/9/2018,101.85,16410950,101.645,102.25,101.251
7/6/2018,101.16,18238570,99.885,101.43,99.67
7/5/2018,99.76,18583280,99.5,99.92,99.0299
7/3/2018,99.05,14670280,100.48,100.63,98.94
7/2/2018,100.01,18850500,98.1,100.06,98
6/29/2018,98.61,27553700,98.93,99.91,98.33
6/28/2018,98.63,26643410,97.38,99.11,97.26
6/27/2018,97.54,31280700,99.58,100.02,97.4
6/26/2018,99.08,26551930,98.82,100.08,98.75
6/25/2018,98.39,35422640,100,100.11,97.3
6/22/2018,100.41,38869490,100.41,100.77,99.625
6/21/2018,101.14,21812100,102.075,102.46,100.88
6/20/2018,101.87,26177810,101.37,102.52,101.12
6/19/2018,100.86,27633590,99.65,101,99.5
6/18/2018,100.86,22760070,100.01,101.11,99.42
6/15/2018,100.13,65663130,101.51,101.53,100.07
6/14/2018,101.42,25405900,101.65,102.03,101
6/13/2018,100.85,28698040,101.72,102.01,100.56
6/12/2018,101.31,18072860,101.1,101.4493,100.75
6/11/2018,101.05,22773270,101.37,101.59,100.67
6/8/2018,101.63,22151500,101.092,101.95,100.54
6/7/2018,100.88,28149340,102.65,102.69,100.38
6/6/2018,102.49,21112450,102.48,102.6,101.9
6/5/2018,102.19,23484820,102,102.33,101.53
6/4/2018,101.67,27173310,101.26,101.86,100.851
6/1/2018,100.79,28615930,99.28,100.86,99.17
5/31/2018,98.84,34117650,99.29,99.99,98.61
5/30/2018,98.95,21899560,98.31,99.25,97.91
5/29/2018,98.01,28395290,97.84,98.88,97.23
5/25/2018,98.36,17942630,98.3,98.98,97.86
5/24/2018,98.31,26637580,98.725,98.94,96.81
5/23/2018,98.66,21119770,96.71,98.73,96.32
5/22/2018,97.5,15438990,97.68,98.17,97.2
5/21/2018,97.6,18996380,97,98.01,96.8
5/18/2018,96.36,17543940,96.01,96.93,96.01
5/17/2018,96.18,17167840,96.76,97.5401,95.83
5/16/2018,97.15,17371190,97.36,97.4,96.615
5/15/2018,97.32,24584910,97.24,97.85,96.34
5/14/2018,98.03,19447690,97.92,98.69,97.31
5/11/2018,97.7,16759750,97.8,97.87,97.04
5/10/2018,97.91,22341300,97.46,97.95,97.05
5/9/2018,96.94,27279420,96.01,96.97,95.05
5/8/2018,95.81,22764250,95.8456,96.16,95.0631
5/7/2018,96.22,23591080,95.17,96.71,95.1
5/4/2018,95.16,22243660,93.32,95.37,92.92
5/3/2018,94.07,31071660,92.96,94.925,92.45
5/2/2018,93.51,27459080,94.99,95.17,93.19
5/1/2018,95,31400270,93.21,95.29,92.79
4/30/2018,93.52,41196050,96.33,96.3964,93.15
4/27/2018,95.82,48037250,97.6,97.9,93.91
4/26/2018,94.26,41085820,93.55,95.15,93.1
4/25/2018,92.31,33622300,93.3,93.3,90.28
4/24/2018,93.12,34495820,96.242,96.47,92.41
4/23/2018,95.35,22243560,95.744,96.29,94.63
4/20/2018,95,31135830,95.91,96.11,94.05
4/19/2018,96.11,23540730,96.44,97.07,95.34
4/18/2018,96.44,21024010,96.22,96.72,95.52
4/17/2018,96.07,25700050,95,96.54,94.88
4/16/2018,94.17,20278000,94.07,94.66,93.42
4/13/2018,93.08,23332360,94.05,94.18,92.44
4/12/2018,93.58,26684870,92.43,94.16,92.43
4/11/2018,91.86,24849510,92.01,93.29,91.48
4/10/2018,92.88,26885740,92.39,93.28,91.64
4/9/2018,90.77,31508070,91.04,93.17,90.62
4/6/2018,90.23,37809230,91.49,92.46,89.48
4/5/2018,92.38,29686720,92.435,93.065,91.4
4/4/2018,92.33,35479140,87.85,92.76,87.73
4/3/2018,89.71,37188830,89.575,90.05,87.89
4/2/2018,88.52,48473940,90.47,90.88,87.51
3/29/2018,91.27,45763610,90.18,92.29,88.4
3/28/2018,89.39,52235580,89.82,91.23,88.873
3/27/2018,89.47,55091770,94.94,95.139,88.51
3/26/2018,93.78,56261750,90.61,94,90.4
3/23/2018,87.18,43857770,89.5,90.46,87.08
3/22/2018,89.79,38354400,91.265,91.75,89.66
3/21/2018,92.48,24173600,92.93,94.05,92.21
3/20/2018,93.13,22402330,93.05,93.77,93
3/19/2018,92.89,32317260,93.74,93.9,92.11
3/16/2018,94.6,49067150,94.68,95.38,93.92
3/15/2018,94.18,27317810,93.53,94.58,92.83
3/14/2018,93.85,31971520,95.12,95.41,93.5
3/13/2018,94.41,34794600,97,97.24,93.97
3/12/2018,96.77,26042460,96.5,97.21,96.04
3/9/2018,96.54,36913460,95.29,96.54,95
3/8/2018,94.43,26957790,94.27,95.1,93.765
3/7/2018,93.86,26458530,93.16,93.9406,92.43
3/6/2018,93.32,21884540,94.34,94.49,92.941
3/5/2018,93.64,23787950,92.34,94.27,92.26
3/2/2018,93.05,32815660,91.58,93.15,90.86
3/1/2018,92.85,36979700,93.99,94.57,91.84
2/28/2018,93.77,30011960,94.84,95.705,93.63
2/27/2018,94.2,25842000,95.74,95.84,94.2
2/26/2018,95.42,30167890,94.4,95.45,94.25
2/23/2018,94.06,26294200,92.75,94.07,92.36
2/22/2018,91.73,23613350,92.05,92.73,91.36
