Date,Close,Open,High,Low
6/3/2021,140.88,140.26,141.2,139.42
6/2/2021,141.04,139.98,141.07,139.49
6/1/2021,139.56,140.35,141.15,139.14
5/28/2021,139.13,139.58,139.7,138.88
5/27/2021,139.2,139.2,140.12,139.02
5/26/2021,138.78,138.89,139.37,138.45
5/25/2021,139.18,140.27,140.35,138.6
5/24/2021,140.08,140.4,140.72,139.55
5/21/2021,140.09,139.65,141.02,139.65
5/20/2021,139.26,138.53,140.26,137.6
5/19/2021,138.59,137.75,138.6,136.4
5/18/2021,139.29,140.13,140.64,138.63
5/17/2021,140.45,139.8,141.12,139.7
5/14/2021,140.04,140.45,141.01,139.34
5/13/2021,139.54,136.91,140.25,136.75
5/12/2021,136.77,139.22,139.52,136.61
5/11/2021,139.59,140.34,140.53,138.31
5/10/2021,141.48,141.12,143.62,141.12
5/7/2021,140.79,141.24,141.45,139.93
5/6/2021,143.66,140.6,143.75,140.52
5/5/2021,140.56,141.26,141.31,139.73
5/4/2021,141.07,139.78,141.89,139.7
5/3/2021,140.1,139.19,141.07,138.94
4/30/2021,137.33,139.09,139.21,136.04
4/29/2021,139.61,139.5,143.97,138.39
4/28/2021,138.41,138.33,138.8,137.54
4/27/2021,137.45,137.14,137.98,136.23
4/26/2021,137.03,137.85,139.02,136.94
4/23/2021,137.86,136.77,139,136.43
4/22/2021,136.75,139.09,140.09,136.47
4/21/2021,138.94,133.63,139.12,133.29
4/20/2021,133.73,132.67,135.28,132.31
4/19/2021,128.85,129.31,129.52,128.33
4/16/2021,129.3,128.73,129.8,128.68
4/15/2021,128.33,129,129.57,127.98
4/14/2021,128.37,127.09,128.52,126.33
4/13/2021,126.97,128.73,129.33,126.2
4/12/2021,130.27,130.69,131.03,129.55
4/9/2021,131.37,130.54,131.38,130.39
4/8/2021,130.78,130.25,131.28,129.85
4/7/2021,130.6,129.54,130.61,129.49
4/6/2021,129.91,131.23,131.29,129.79
4/5/2021,131.57,129.35,132.3,129.12
4/1/2021,128.95,129.47,129.63,128.03
3/31/2021,128.98,130.22,130.39,128.45
3/30/2021,130.4,131.5,131.9,129.72
3/29/2021,131.5,131.62,132.67,131.16
3/26/2021,132,129.01,132.1,128.85
3/25/2021,128.8,126.15,128.96,125.61
3/24/2021,126.43,126.75,127.87,126.38
3/23/2021,126.27,126.25,127.34,125.63
3/22/2021,126.36,124.38,126.52,123.79
3/19/2021,124.76,125.85,126.25,124.41
3/18/2021,125.89,124.8,126.79,123.69
3/17/2021,124.89,124.34,125.33,123.4
3/16/2021,124.12,124.16,124.4,123.25
3/15/2021,124.45,123.67,124.62,123.45
3/12/2021,123.51,123.11,123.58,122.55
3/11/2021,123.06,123.98,124.51,122.71
3/10/2021,123.77,121.04,124.12,120.61
3/9/2021,120.19,121.38,122.37,120.18
3/8/2021,120.8,119.04,122.78,118.94
3/5/2021,118.89,116.77,119.78,116.39
3/4/2021,116.26,118.08,119.27,114.94
3/3/2021,118.43,116.63,118.7,116.13
3/2/2021,116.47,116.87,117.99,116.4
3/1/2021,116.87,116.49,118.39,116.02
2/26/2021,115.11,118.33,118.33,115.06
2/25/2021,118.54,119.41,120.36,118.41
2/24/2021,119.26,116.92,119.53,116.65
2/23/2021,116.84,117.04,117.46,115.96
2/22/2021,116.98,114.7,117.24,114.64
2/19/2021,115.17,116.87,116.88,114.58
2/18/2021,116.86,116.63,117.06,115.86
2/17/2021,116.12,115.44,116.69,115.2
2/16/2021,116.22,116.29,116.73,115.53
2/12/2021,116.92,117.12,117.47,116.24
2/11/2021,117.03,118.08,118.28,116.76
2/10/2021,118.32,119.08,119.45,117.32
2/9/2021,118.18,117.99,118.66,117.17
2/8/2021,119.64,118.68,120,118.47
2/5/2021,117.88,117.12,117.9,116.65
2/4/2021,117.14,116.06,117.21,115.06
2/3/2021,115.3,115.22,115.96,114.33
2/2/2021,115.61,115.53,117.12,115.45
2/1/2021,116.67,116.05,117.07,114.92
1/29/2021,115.29,116.36,117.41,115.08
1/28/2021,116.23,118.86,119.25,116.22
1/27/2021,118.54,118.16,120.79,117.72
1/26/2021,118.56,115.36,118.66,114.62
1/25/2021,114.77,114.95,115.7,113.68
1/22/2021,114.8,116.83,116.83,113.59
1/21/2021,127.42,125.94,128,125.88
1/20/2021,125.91,125.54,126.85,124.43
1/19/2021,124.88,125.13,125.43,123.98
1/15/2021,124.27,124.16,125.09,123.57
1/14/2021,124.83,123.91,125.98,123.46
1/13/2021,122.85,125.01,125.59,122.4
1/12/2021,125.06,124.95,125.68,123.83
1/11/2021,124.45,123.84,125.51,123.56
1/8/2021,124.41,124.44,125.17,122.9
1/7/2021,124.85,125.87,126.27,124.14
1/6/2021,125.14,122.83,127.65,122.65
1/5/2021,122.09,121,122.61,120.61
1/4/2021,119.96,121.81,121.88,119.09
12/31/2020,121.84,120.23,121.99,120.01
12/30/2020,120.35,119.83,120.84,119.66
12/29/2020,119.83,121.33,121.45,119.28
12/28/2020,120.81,121.09,122.54,120.47
12/24/2020,120.69,120.99,121.09,120.22
12/23/2020,119.92,119.9,121.19,119.77
12/22/2020,119.64,119.35,120.23,118.48
12/21/2020,119.43,119.99,120.19,117.81
12/18/2020,121.81,121.56,122.34,120.96
12/17/2020,121.52,122.03,122.04,120.9
12/16/2020,121.52,121.89,122.51,121.27
12/15/2020,121.89,120.4,121.89,119.48
12/14/2020,119.57,121.3,122.19,119.51
12/11/2020,120.28,120.1,121.48,119.64
12/10/2020,120.95,122.3,122.86,120.93
12/9/2020,122.72,121.76,123.59,121.67
12/8/2020,121.68,121.3,122.28,120.64
12/7/2020,120.7,122.43,122.9,120.57
12/4/2020,123.12,119.99,123.29,119.67
12/3/2020,119.64,120.18,120.85,119.33
12/2/2020,120.62,118.91,120.64,118.48
12/1/2020,119.21,119.92,121.79,119.13
